version,learning_rate,discount_rate,min_exploration_rate,max_exploration_rate,exploration_rate_decay_rate,goal_reached_percentage,avg_episode_learn
1,0.3,0.98,0.01,1,0.005,93.24%,133.15
2,0.5,0.98,0.01,1,0.005,93.50%,130.15
3,0.2,0.95,0.003,1,0.05,97.60%,62.56
4,0.2,0.95,0.003,1,0.5,98.30%,49.18
